datetime,AT,SE_3,HU,CH,DE_LU,IT_CNOR,IE_SEM,DK_2,CZ,HR,BE,NL,RS,PL,FR,GR,IT_NORD,ES,NO_1
2026-06-27 22:00:00+00:00,145.39,79.7,153.95,131.46,145.13,147.17,128.505,145.04,144.27,148.5,145.22,145.17,72.06,145.07,145.31,152.4,147.17,126.76,93.58
2026-06-27 22:15:00+00:00,137.38,76.5,141.9,131.46,140.9,137.91,128.505,141.21,138.45,138.67,150.0,144.24,72.06,139.3,125.01,141.01,137.91,125.01,93.46
2026-06-27 22:30:00+00:00,131.91,72.76,132.58,131.46,135.19,137.91,128.505,135.31,133.41,131.75,131.49,134.7,72.06,133.8,120.0,132.37,137.91,120.0,92.75
2026-06-27 22:45:00+00:00,122.95,69.99,123.59,131.46,124.62,134.8,128.505,124.68,123.68,122.98,122.71,124.37,72.06,123.91,116.86,123.42,134.8,116.86,91.43
2026-06-27 23:00:00+00:00,129.39,75.63,129.61,125.0,130.47,134.8,122.69,130.59,129.83,129.4,136.01,132.26,67.02,129.97,126.07,129.56,134.8,126.07,91.64
2026-06-27 23:15:00+00:00,127.2,74.75,127.48,125.0,128.55,134.19,122.69,128.7,127.74,127.21,135.43,130.76,67.02,127.93,123.07,127.41,134.19,123.07,90.83
2026-06-27 23:30:00+00:00,124.11,72.07,124.18,125.0,124.47,133.1,122.69,124.51,124.25,124.11,126.29,125.05,67.02,124.3,123.01,124.16,133.1,123.01,90.46
2026-06-27 23:45:00+00:00,119.78,68.66,119.95,125.0,120.63,131.75,122.69,120.73,120.12,119.78,125.0,122.04,67.02,120.24,117.16,119.91,131.75,117.16,90.26
2026-06-28 00:00:00+00:00,122.79,74.31,122.79,117.9,122.79,133.1,117.575,122.79,122.79,122.79,122.79,122.79,59.08,122.79,122.79,122.79,133.1,122.79,89.34
2026-06-28 00:15:00+00:00,120.62,72.87,120.62,117.9,120.62,132.4,117.575,120.62,120.62,120.62,120.62,120.62,59.08,120.62,120.62,120.62,132.4,120.62,89.31
2026-06-28 00:30:00+00:00,118.82,70.36,118.82,117.9,118.82,131.75,117.575,118.82,118.82,118.82,118.82,118.82,59.08,118.82,118.82,118.82,131.75,118.82,89.32
2026-06-28 00:45:00+00:00,116.5,68.4,116.5,117.9,116.5,125.73,117.575,116.5,116.5,116.5,116.5,116.5,59.08,116.5,116.5,116.5,125.73,116.5,89.33
2026-06-28 01:00:00+00:00,116.18,70.43,116.18,114.82,116.18,133.1,118.115,116.18,116.18,116.18,116.18,116.18,57.04,116.18,116.18,116.18,133.1,116.18,87.48
2026-06-28 01:15:00+00:00,115.59,68.51,115.59,114.82,115.59,133.1,118.115,115.59,115.59,115.59,115.59,115.59,57.04,115.59,115.59,115.59,133.1,115.59,87.29
2026-06-28 01:30:00+00:00,115.98,68.76,115.98,114.82,115.98,131.75,118.115,115.98,115.98,115.98,115.98,115.98,57.04,115.98,115.98,115.98,131.75,115.98,87.03
2026-06-28 01:45:00+00:00,115.0,67.32,115.0,114.82,115.0,128.83,118.115,105.46,115.0,115.0,115.0,115.0,57.04,115.0,115.0,115.0,128.83,115.0,86.61
2026-06-28 02:00:00+00:00,114.6,68.66,114.6,114.0,114.6,130.38,115.425,101.33,114.6,114.6,114.6,114.6,95.02,114.6,114.6,114.6,130.38,114.6,88.4
2026-06-28 02:15:00+00:00,114.57,68.68,114.57,114.0,114.57,131.75,115.425,100.7,114.57,114.57,114.57,114.57,95.02,114.57,114.57,114.57,131.75,114.57,88.0
2026-06-28 02:30:00+00:00,115.0,68.77,115.0,114.0,115.0,129.2,115.425,99.1,115.0,115.0,115.0,115.0,95.02,115.0,115.0,115.0,129.2,115.0,87.01
2026-06-28 02:45:00+00:00,114.77,65.44,114.77,114.0,114.77,129.07,115.425,102.18,114.77,114.77,114.77,114.77,95.02,114.77,114.77,114.77,129.07,114.77,87.75
2026-06-28 03:00:00+00:00,115.54,70.15,115.54,111.27,115.54,133.1,113.125,94.68,115.54,115.54,115.54,115.54,37.01,115.54,115.54,115.54,133.1,115.54,84.76
2026-06-28 03:15:00+00:00,115.09,63.92,115.09,111.27,115.09,131.75,113.125,99.08,115.09,115.09,115.09,115.09,37.01,115.09,115.09,115.0,131.75,115.09,85.52
2026-06-28 03:30:00+00:00,115.0,64.55,115.0,111.27,115.0,116.14,113.125,97.64,115.0,115.0,115.0,115.0,37.01,115.0,115.0,115.0,116.14,115.0,84.77
2026-06-28 03:45:00+00:00,114.86,66.16,114.86,111.27,114.86,116.14,113.125,94.78,114.86,114.86,114.86,114.86,37.01,114.86,114.86,114.86,116.14,114.86,83.46
2026-06-28 04:00:00+00:00,116.0,67.07,116.0,106.04,116.0,130.49,108.075,95.14,116.0,116.0,116.0,116.0,0.0,116.0,116.0,116.0,130.49,116.0,84.0
2026-06-28 04:15:00+00:00,115.0,58.87,115.0,106.04,115.0,131.75,108.075,79.5,115.0,115.0,115.0,115.0,0.0,115.0,115.0,115.0,131.75,115.0,82.82
2026-06-28 04:30:00+00:00,110.69,36.06,110.69,106.04,110.69,124.4,108.075,36.5,110.69,110.69,110.69,110.69,0.0,110.69,110.69,110.69,124.4,114.57,82.46
2026-06-28 04:45:00+00:00,106.56,32.13,106.56,106.04,106.56,119.11,108.075,33.29,106.56,106.56,106.56,106.56,0.0,106.56,106.56,106.56,119.11,114.57,81.87
2026-06-28 05:00:00+00:00,114.6,36.82,114.6,101.0,114.6,131.75,102.36,38.08,114.6,114.6,114.6,114.6,0.01,114.6,114.6,20.77,131.75,114.6,84.65
2026-06-28 05:15:00+00:00,112.36,37.49,112.36,101.0,112.36,130.65,102.36,38.71,112.36,112.36,112.36,112.36,0.01,112.36,112.36,0.0,130.65,112.36,83.75
2026-06-28 05:30:00+00:00,104.86,38.59,104.86,101.0,104.86,133.1,102.36,39.15,104.86,104.86,104.86,104.86,0.01,104.86,104.86,-0.01,133.1,104.86,80.06
2026-06-28 05:45:00+00:00,85.9,39.31,85.9,101.0,85.9,124.9,102.36,39.76,85.9,85.9,85.9,85.9,0.01,85.9,85.9,-0.01,124.9,85.9,73.77
2026-06-28 06:00:00+00:00,108.47,42.24,108.47,86.2,108.47,132.4,83.845,43.23,108.47,108.47,108.47,108.47,64.0,108.47,108.47,-0.01,132.4,108.47,78.82
2026-06-28 06:15:00+00:00,82.99,41.43,82.99,86.2,82.99,129.2,83.845,42.25,82.99,82.99,82.99,82.99,64.0,82.99,82.99,-0.01,129.2,82.99,74.13
2026-06-28 06:30:00+00:00,70.44,39.58,70.44,86.2,70.44,133.1,83.845,39.82,70.44,70.44,70.44,70.44,64.0,70.44,70.44,-0.02,133.1,70.44,67.82
2026-06-28 06:45:00+00:00,44.84,42.6,44.84,86.2,44.84,120.0,83.845,42.64,44.84,44.84,44.84,44.84,64.0,44.84,44.84,-0.02,120.0,44.84,52.19
2026-06-28 07:00:00+00:00,67.55,57.32,67.55,44.08,67.55,116.14,43.405,57.37,67.55,67.55,67.55,67.55,15.2,67.55,67.55,-0.1,116.14,55.0,57.37
2026-06-28 07:15:00+00:00,37.96,38.41,37.96,44.08,37.96,116.14,43.405,38.43,37.96,37.96,37.96,37.96,15.2,37.96,37.96,-0.1,116.14,37.96,41.0
2026-06-28 07:30:00+00:00,18.08,18.78,18.08,44.08,18.08,116.14,43.405,18.78,18.08,18.08,18.08,18.08,15.2,18.08,18.08,-1.0,116.14,17.64,18.78
2026-06-28 07:45:00+00:00,7.66,11.72,7.66,44.08,7.66,111.58,43.405,11.72,7.66,7.66,7.66,7.66,15.2,7.66,7.66,-0.1,111.58,1.95,11.72
2026-06-28 08:00:00+00:00,14.43,20.85,14.43,10.0,14.43,71.05,18.5,20.85,14.43,14.43,14.43,14.43,0.0,14.43,14.43,-1.0,71.05,6.0,20.85
2026-06-28 08:15:00+00:00,4.99,17.67,4.99,10.0,4.99,66.0,18.5,17.63,4.99,4.99,4.99,4.99,0.0,4.99,4.99,-1.0,66.0,2.0,17.82
2026-06-28 08:30:00+00:00,0.84,15.07,0.84,10.0,0.84,65.36,18.5,14.86,0.84,0.84,0.84,0.84,0.0,0.84,0.84,-1.0,65.36,0.84,15.74
2026-06-28 08:45:00+00:00,0.4,13.84,0.39,10.0,0.35,60.0,18.5,13.6,0.38,0.41,0.71,0.0,0.0,0.37,0.6,-0.1,60.0,0.6,14.57
2026-06-28 09:00:00+00:00,0.54,18.98,0.54,1.43,0.54,50.0,11.04,18.98,0.54,0.54,0.54,0.54,-0.01,0.54,0.54,-0.02,50.0,0.51,18.98
2026-06-28 09:15:00+00:00,0.01,18.01,0.01,1.43,0.01,50.0,11.04,18.01,0.01,0.01,0.02,-0.01,-0.01,0.01,0.02,-0.02,50.0,0.02,18.01
2026-06-28 09:30:00+00:00,0.0,17.37,0.0,1.43,0.0,60.0,11.04,17.37,0.0,0.0,0.01,-0.01,-0.01,0.0,0.01,-0.02,60.0,0.0,17.37
2026-06-28 09:45:00+00:00,0.1,16.72,0.07,1.43,-0.07,79.0,11.04,16.72,0.03,0.1,1.07,-1.17,-0.01,0.0,0.71,-0.02,79.0,0.0,16.72
2026-06-28 10:00:00+00:00,-0.01,14.21,0.0,-2.0,0.0,94.0,8.125,14.21,0.0,0.01,0.0,-0.01,2.51,0.0,0.0,-0.02,94.0,0.0,14.21
2026-06-28 10:15:00+00:00,-0.01,14.0,0.0,-2.0,0.0,90.93,8.125,14.0,0.0,0.01,0.0,-0.01,2.51,0.0,0.0,-0.02,90.93,0.0,14.0
