datetime,FR,DE_LU,BE,ES,IT_NORD,NL
2026-06-24 22:00:00+00:00,200.1,200.1,200.1,129.69,200.1,200.1
2026-06-24 22:15:00+00:00,171.0,171.0,171.0,129.69,171.0,171.0
2026-06-24 22:30:00+00:00,150.5,154.03,153.63,129.69,150.5,153.77
2026-06-24 22:45:00+00:00,126.19,153.14,150.69,126.19,142.18,151.75
2026-06-24 23:00:00+00:00,129.69,165.17,161.17,129.69,155.99,162.61
2026-06-24 23:15:00+00:00,129.4,157.72,154.53,129.4,143.96,155.68
2026-06-24 23:30:00+00:00,126.19,151.9,149.0,126.19,142.18,150.04
2026-06-24 23:45:00+00:00,123.0,144.95,142.47,123.0,139.87,143.37
2026-06-25 00:00:00+00:00,119.2,154.0,144.9,119.2,141.0,149.45
2026-06-25 00:15:00+00:00,116.69,144.32,137.09,116.69,139.87,140.71
2026-06-25 00:30:00+00:00,116.69,142.5,135.75,116.69,139.87,139.13
2026-06-25 00:45:00+00:00,116.02,140.72,134.26,116.02,139.87,137.5
2026-06-25 01:00:00+00:00,116.26,146.44,138.59,116.26,139.87,142.53
2026-06-25 01:15:00+00:00,115.78,143.04,135.96,115.78,139.87,139.52
2026-06-25 01:30:00+00:00,116.02,141.21,134.67,116.02,139.87,137.95
2026-06-25 01:45:00+00:00,115.78,141.2,134.59,115.78,139.87,137.91
2026-06-25 02:00:00+00:00,115.78,139.55,133.36,115.78,139.7,136.46
2026-06-25 02:15:00+00:00,115.78,143.57,136.33,115.78,139.87,139.96
2026-06-25 02:30:00+00:00,115.78,142.9,135.84,115.78,139.7,139.38
2026-06-25 02:45:00+00:00,115.78,141.61,134.88,115.78,139.7,138.25
2026-06-25 03:00:00+00:00,106.78,142.02,132.8,115.01,139.7,137.39
2026-06-25 03:15:00+00:00,115.3,141.22,134.44,115.3,139.7,137.82
2026-06-25 03:30:00+00:00,115.54,144.96,137.26,115.54,139.14,141.1
2026-06-25 03:45:00+00:00,116.0,150.09,141.17,116.0,139.7,145.62
2026-06-25 04:00:00+00:00,116.02,161.34,160.0,116.02,139.7,160.9
2026-06-25 04:15:00+00:00,116.69,169.19,168.83,116.69,142.18,169.72
2026-06-25 04:30:00+00:00,119.2,161.4,160.39,119.2,143.96,161.2
2026-06-25 04:45:00+00:00,122.17,153.39,152.58,122.17,147.42,153.19
2026-06-25 05:00:00+00:00,123.0,178.0,173.22,123.0,143.96,174.66
2026-06-25 05:15:00+00:00,122.17,157.34,154.28,122.17,143.17,155.2
2026-06-25 05:30:00+00:00,117.95,141.4,139.36,117.95,143.13,139.97
2026-06-25 05:45:00+00:00,115.3,116.93,116.79,115.3,139.14,116.83
2026-06-25 06:00:00+00:00,136.52,141.16,141.73,119.66,141.29,141.28
2026-06-25 06:15:00+00:00,116.26,124.79,129.29,116.26,139.7,126.45
2026-06-25 06:30:00+00:00,102.0,112.5,113.24,102.0,138.45,112.54
2026-06-25 06:45:00+00:00,97.94,97.94,97.94,88.06,137.95,97.94
2026-06-25 07:00:00+00:00,121.26,121.26,121.26,104.0,139.0,121.26
2026-06-25 07:15:00+00:00,112.25,112.25,112.25,93.98,138.45,112.25
2026-06-25 07:30:00+00:00,103.77,103.77,103.77,80.0,132.0,103.77
2026-06-25 07:45:00+00:00,82.75,82.75,82.75,77.81,120.94,82.75
2026-06-25 08:00:00+00:00,100.43,106.37,120.0,77.68,135.0,110.5
2026-06-25 08:15:00+00:00,93.68,95.6,100.0,70.0,129.42,96.93
2026-06-25 08:30:00+00:00,80.01,80.01,80.01,60.0,123.35,80.01
2026-06-25 08:45:00+00:00,57.0,57.0,57.0,50.0,120.55,57.0
2026-06-25 09:00:00+00:00,96.12,92.83,98.87,37.9,129.71,88.49
2026-06-25 09:15:00+00:00,81.72,72.1,93.37,29.67,127.7,58.41
2026-06-25 09:30:00+00:00,72.19,56.48,91.2,21.22,120.41,34.12
2026-06-25 09:45:00+00:00,62.54,46.96,81.4,20.0,127.7,24.78
2026-06-25 10:00:00+00:00,73.94,53.74,90.67,14.74,115.1,27.68
2026-06-25 10:15:00+00:00,61.2,45.35,74.33,5.59,125.0,24.91
2026-06-25 10:30:00+00:00,64.98,41.06,84.8,5.41,135.0,10.2
2026-06-25 10:45:00+00:00,35.76,30.65,40.0,3.08,136.39,24.05
2026-06-25 11:00:00+00:00,62.87,45.0,77.29,3.0,132.5,22.24
2026-06-25 11:15:00+00:00,52.87,36.16,66.61,2.2,130.23,14.54
2026-06-25 11:30:00+00:00,46.25,28.67,60.78,1.82,135.75,5.83
2026-06-25 11:45:00+00:00,45.17,26.01,61.0,1.5,130.0,1.14
2026-06-25 12:00:00+00:00,32.06,23.39,39.2,1.5,135.0,12.2
2026-06-25 12:15:00+00:00,41.5,26.14,54.16,1.5,136.39,6.3
2026-06-25 12:30:00+00:00,68.75,44.42,88.82,1.46,136.39,12.99
2026-06-25 12:45:00+00:00,85.93,55.11,111.33,1.2,137.95,15.33
2026-06-25 13:00:00+00:00,57.45,41.52,70.5,1.0,138.45,21.26
2026-06-25 13:15:00+00:00,71.12,61.73,78.81,1.0,139.14,49.79
2026-06-25 13:30:00+00:00,89.75,77.02,96.94,1.15,139.7,64.7
2026-06-25 13:45:00+00:00,99.5,90.96,102.95,1.5,139.87,84.29
2026-06-25 14:00:00+00:00,66.8,65.14,67.39,1.82,132.0,63.16
