datetime,PL,DE_LU,CH,CZ,RS,HU,NO_1,IE_SEM,NL,SE_3,AT,IT_NORD,ES,HR,FR,IT_CNOR,DK_2,BE,GR
2026-07-22 22:00:00+00:00,147.39,153.4,155.01,123.77,86.0,164.72,128.65,190.125,160.46,80.08,187.63,187.63,190.76,172.13,162.66,187.63,134.54,163.89,165.22
2026-07-22 22:15:00+00:00,142.34,147.31,155.01,123.79,86.0,155.79,127.85,190.125,151.45,70.7,173.69,185.27,189.0,161.51,153.12,204.5,133.56,153.12,156.16
2026-07-22 22:30:00+00:00,133.74,139.23,155.01,114.52,86.0,147.49,127.1,190.125,142.5,32.72,165.9,179.99,184.99,153.35,144.53,211.95,132.11,144.53,147.87
2026-07-22 22:45:00+00:00,125.25,131.08,155.01,106.25,86.0,138.6,124.53,190.125,132.39,13.96,156.64,158.01,182.98,144.26,134.38,190.0,125.599998,133.28,138.95
2026-07-22 23:00:00+00:00,137.6,142.47,153.2,120.51,73.04,149.67,130.02,166.18,144.26,74.99,165.9,167.81,180.01,154.82,146.57,205.0,127.93,146.57,149.99
2026-07-22 23:15:00+00:00,132.14,137.83,153.2,112.28,73.04,146.12,129.47,166.18,141.54,58.97,164.92,170.0,178.01,152.12,143.35,191.02,125.59,143.94,146.5
2026-07-22 23:30:00+00:00,130.34,136.34,153.2,109.42,73.04,145.09,128.19,166.18,140.32,35.99,164.9,166.33,175.32,151.42,142.21,188.97,125.59,142.89,145.49
2026-07-22 23:45:00+00:00,130.21,132.74,153.2,121.74,73.04,136.1,125.74,166.18,133.36,22.92,144.09,167.5,174.84,138.61,134.23,175.01,125.59,133.74,136.26
2026-07-23 00:00:00+00:00,128.69,135.04,151.94,106.62,70.03,144.15,127.0,165.325,139.2,54.97,164.98,172.7,174.84,150.85,141.24,180.0,125.580002,142.0,144.61
2026-07-23 00:15:00+00:00,126.98,133.28,151.94,105.86,70.03,141.65,125.44,165.325,135.4,40.6,161.53,166.46,174.6,147.96,137.47,178.84,125.580002,136.82,142.07
2026-07-23 00:30:00+00:00,129.15,133.78,151.94,113.78,70.03,139.79,125.76,165.325,134.85,35.01,154.25,164.58,174.5,144.37,136.45,175.1,125.57,135.56,140.1
2026-07-23 00:45:00+00:00,129.85,132.54,151.94,120.9,70.03,136.05,125.31,165.325,133.16,24.74,144.46,160.58,174.5,138.71,134.09,168.0,125.57,133.58,136.22
2026-07-23 01:00:00+00:00,128.62,132.42,145.55,116.02,68.01,137.32,124.42,169.0,133.06,35.81,149.22,168.18,174.01,141.1,134.44,172.75,125.580002,133.57,137.6
2026-07-23 01:15:00+00:00,128.64,134.73,145.55,108.47,68.01,142.58,126.66,169.0,135.76,30.5,161.62,167.9,174.0,148.63,137.96,168.0,125.58,136.57,143.01
2026-07-23 01:30:00+00:00,127.07,132.35,145.55,109.58,68.01,139.15,124.99,169.0,133.24,21.28,155.66,161.46,174.0,144.4,135.15,161.46,125.589996,133.95,139.53
