datetime,AT,CZ,IT_CNOR,DK_2,GR,NL,RS,SE_3,IT_NORD,HU,PL,DE_LU,ES,NO_1,BE,HR,IE_SEM,CH,FR
2026-07-07 22:00:00+00:00,141.11,122.37,160.79,113.559998,158.35,137.63,144.77,19.99,160.79,159.2,107.2,119.71,146.02,88.81,147.87,151.15,229.555,120.0,137.74
2026-07-07 22:15:00+00:00,137.79,119.0,162.56,102.449997,158.74,126.48,144.77,15.44,162.56,159.47,98.04,116.96,145.5,87.48,131.0,149.55,229.555,120.0,127.03
2026-07-07 22:30:00+00:00,132.95,109.11,154.63,105.800003,154.96,120.66,144.77,14.3,154.63,156.81,97.2,112.03,144.0,85.87,126.54,145.81,229.555,120.0,115.88
2026-07-07 22:45:00+00:00,130.94,109.52,142.02,105.870003,152.36,115.62,144.77,12.66,142.02,153.79,94.51,110.99,140.46,85.46,118.2,143.26,229.555,120.0,115.75
2026-07-07 23:00:00+00:00,134.95,129.52,151.86,100.5,153.06,127.01,134.48,15.18,151.86,151.71,93.59,120.96,144.0,85.67,127.03,143.92,198.97,117.96,127.56
2026-07-07 23:15:00+00:00,128.71,123.94,148.94,104.47,145.4,120.23,134.48,14.83,148.94,144.18,91.24,116.9,143.27,83.88,120.45,136.96,198.97,117.96,121.32
2026-07-07 23:30:00+00:00,126.44,121.95,135.0,102.910004,142.08,118.56,134.48,14.52,135.0,140.94,91.28,115.3,141.52,83.88,118.74,134.17,198.97,117.96,119.54
2026-07-07 23:45:00+00:00,118.31,114.93,124.2,107.050003,130.46,111.68,134.48,14.21,124.2,129.59,91.33,110.22,140.0,82.21,112.02,124.31,198.97,117.96,112.74
2026-07-08 00:00:00+00:00,129.21,124.0,149.0,100.3,147.2,120.56,125.4,15.58,149.0,145.91,88.05,116.05,141.0,83.45,120.6,138.12,187.665,113.71,121.44
2026-07-08 00:15:00+00:00,122.03,117.73,140.0,101.300003,137.14,114.48,125.4,14.82,140.0,136.07,87.66,111.3,139.0,82.86,114.63,129.52,187.665,113.71,115.39
2026-07-08 00:30:00+00:00,120.74,116.88,135.0,101.51,134.23,114.08,125.4,14.47,135.0,133.26,90.02,111.07,141.0,82.46,114.18,127.42,187.665,113.71,114.85
2026-07-08 00:45:00+00:00,117.12,113.63,124.2,104.220001,129.63,110.51,125.4,14.23,124.2,128.75,88.9,108.61,140.46,81.52,110.77,123.32,187.665,113.71,111.48
2026-07-08 01:00:00+00:00,116.52,112.67,124.2,104.58,130.62,108.76,110.0,14.95,124.2,129.63,85.09,107.31,141.0,81.42,109.19,123.47,192.66,113.01,110.04
2026-07-08 01:15:00+00:00,117.47,113.93,139.37,104.07,130.92,111.67,110.0,14.76,139.37,130.0,87.69,109.0,140.46,81.4,113.41,124.05,192.66,113.01,109.88
2026-07-08 01:30:00+00:00,114.38,111.17,135.0,102.93,129.73,113.55,110.0,14.6,135.0,128.79,82.03,107.18,140.43,81.48,121.59,121.7,192.66,113.01,99.39
2026-07-08 01:45:00+00:00,115.73,112.69,124.0,106.639999,131.3,115.84,110.0,14.19,124.0,130.37,83.41,109.19,140.46,79.68,125.34,123.11,192.66,113.01,99.13
2026-07-08 02:00:00+00:00,110.37,109.06,131.2,106.73,118.56,112.4,110.0,14.19,131.2,118.11,94.0,107.84,141.0,78.09,119.49,114.17,177.725,114.2,99.43
2026-07-08 02:15:00+00:00,117.35,115.43,124.2,109.25,128.6,120.5,110.0,14.54,124.2,127.97,94.51,113.32,141.0,78.03,129.93,122.58,177.725,114.2,102.64
2026-07-08 02:30:00+00:00,121.91,118.93,135.0,110.0,135.68,121.15,110.0,14.64,135.0,134.82,92.73,115.14,141.58,77.89,128.0,128.47,177.725,114.2,108.84
2026-07-08 02:45:00+00:00,125.59,122.38,130.0,106.830002,140.13,125.96,110.0,17.23,130.0,139.21,94.51,118.03,141.62,79.0,133.53,132.5,177.725,114.2,111.42
2026-07-08 03:00:00+00:00,121.91,112.92,134.01,108.55,165.2,119.88,125.0,13.63,134.01,184.41,97.92,115.22,143.27,75.67,127.0,139.48,170.93,121.7,108.39
2026-07-08 03:15:00+00:00,126.17,117.39,135.0,109.27,167.0,124.01,125.0,15.91,135.0,185.16,103.03,118.91,144.0,76.63,129.63,142.75,170.93,121.7,114.57
2026-07-08 03:30:00+00:00,128.54,120.41,136.51,107.33,165.2,125.76,125.0,19.91,136.51,181.42,107.0,121.19,144.0,77.63,129.6,143.45,170.93,121.7,119.31
