datetime,BE,CZ,PL,NL,DK_2,IE_SEM,CH,NO_1,SE_3,GR,DE_LU,HU,RS,HR,ES,AT,FR,IT_NORD,IT_CNOR
2026-07-18 22:00:00+00:00,145.59,145.59,145.59,145.59,142.97,207.22,133.77,136.33,58.6,145.59,145.59,145.59,135.0,145.59,166.0,145.59,145.59,180.0,180.0
2026-07-18 22:15:00+00:00,142.6,142.6,142.6,142.6,140.039993,207.22,133.77,134.03,48.85,142.6,142.6,142.6,135.0,142.6,163.13,142.6,142.6,185.0,185.0
2026-07-18 22:30:00+00:00,135.63,135.63,135.63,135.63,133.190002,207.22,133.77,128.12,35.91,135.63,135.63,135.63,135.0,135.63,163.13,135.63,135.63,185.0,185.0
2026-07-18 22:45:00+00:00,130.97,130.97,130.97,130.97,128.610001,207.22,133.77,125.19,24.03,130.97,130.97,130.97,135.0,130.97,158.04,130.97,130.97,179.83,179.83
2026-07-18 23:00:00+00:00,135.0,135.0,135.0,135.0,132.580002,218.95,123.89,127.02,42.7,135.0,135.0,135.0,123.79,135.0,163.13,135.0,135.0,185.0,185.0
2026-07-18 23:15:00+00:00,132.23,132.23,132.23,132.23,129.85,218.95,123.89,125.15,31.96,132.23,132.23,132.23,123.79,132.23,162.57,132.23,132.23,180.0,180.0
2026-07-18 23:30:00+00:00,130.06,130.06,130.06,130.06,127.72,218.95,123.89,123.97,12.69,130.06,130.06,130.06,123.79,130.06,160.07,130.06,130.06,178.63,178.63
2026-07-18 23:45:00+00:00,125.68,125.68,125.68,125.68,123.41,218.95,123.89,120.26,10.01,125.68,125.68,125.68,123.79,125.68,157.21,125.68,125.68,173.99,173.99
2026-07-19 00:00:00+00:00,127.55,127.55,127.55,127.55,125.26,202.195,119.88,121.24,13.54,127.55,127.55,127.55,115.04,127.55,161.86,127.55,127.55,185.0,185.0
2026-07-19 00:15:00+00:00,122.31,122.31,122.31,122.31,120.11,202.195,119.88,116.82,8.77,122.31,122.31,122.31,115.04,122.31,159.0,122.31,122.31,178.63,178.63
2026-07-19 00:30:00+00:00,120.85,120.85,120.85,120.85,118.67,202.195,119.88,115.4,8.01,120.85,120.85,120.85,115.04,120.85,157.18,120.85,120.85,176.99,176.99
2026-07-19 00:45:00+00:00,116.83,116.93,116.93,116.84,114.779999,202.195,119.88,113.54,6.95,116.95,116.89,116.95,115.04,116.97,157.18,116.96,116.14,167.95,167.95
2026-07-19 01:00:00+00:00,121.07,121.07,121.07,121.07,118.889999,225.015,118.49,115.21,6.95,121.07,121.07,121.07,115.02,121.07,156.5,121.07,121.07,143.5,161.92
2026-07-19 01:15:00+00:00,120.09,120.09,120.09,120.09,120.089996,225.015,118.49,114.5,6.75,120.09,120.09,120.09,115.02,120.09,155.0,120.09,120.09,146.2,166.5
2026-07-19 01:30:00+00:00,118.86,118.98,118.97,118.88,118.940002,225.015,118.49,113.37,5.84,119.0,118.93,119.0,115.02,119.02,155.0,119.01,118.08,160.29,164.59
2026-07-19 01:45:00+00:00,114.57,116.06,116.01,114.78,115.57,225.015,118.49,111.3,5.5,116.36,115.5,116.31,115.02,116.56,155.0,116.47,104.76,143.5,143.5
2026-07-19 02:00:00+00:00,116.13,121.59,121.42,116.88,119.75,215.635,114.96,115.3,5.56,122.71,119.53,122.52,111.03,123.47,152.07,123.14,80.06,169.6,169.6
2026-07-19 02:15:00+00:00,113.11,118.4,118.19,112.6,116.34,215.635,114.96,115.26,4.64,119.57,116.11,119.37,111.03,120.37,152.07,120.07,79.93,160.29,160.29
2026-07-19 02:30:00+00:00,112.71,114.72,114.64,112.52,113.940002,215.635,114.96,115.03,3.46,115.16,113.85,115.08,111.03,115.46,154.78,115.35,100.15,158.21,158.21
2026-07-19 02:45:00+00:00,111.19,111.93,111.91,111.12,111.64,215.635,114.96,112.94,3.16,112.1,111.61,112.07,111.03,112.21,155.0,112.17,106.53,151.9,151.9
2026-07-19 03:00:00+00:00,104.5,117.25,116.85,107.59,113.599998,199.17,112.1,113.79,2.67,119.1,113.18,118.78,85.1,120.37,157.15,120.01,72.57,179.83,179.83
2026-07-19 03:15:00+00:00,103.54,113.16,112.85,105.92,110.42,199.17,112.1,110.89,2.67,114.54,110.1,114.3,85.1,115.49,157.15,115.22,80.09,176.67,176.67
2026-07-19 03:30:00+00:00,106.69,110.61,110.45,106.42,109.12,199.17,112.1,110.03,2.65,111.45,108.94,111.3,85.1,112.02,157.15,111.8,83.42,161.42,161.42
2026-07-19 03:45:00+00:00,104.9,105.87,105.83,104.81,105.49,199.17,112.1,106.96,3.63,106.08,105.45,106.04,85.1,106.23,158.55,106.17,98.84,142.08,142.08
2026-07-19 04:00:00+00:00,102.42,112.88,112.55,105.13,109.94,191.455,109.13,108.52,3.11,114.36,109.53,114.11,65.0,115.36,158.55,115.09,78.29,145.62,145.62
2026-07-19 04:15:00+00:00,93.0,108.87,108.37,97.11,104.410004,191.455,109.13,104.6,3.11,111.11,103.79,110.73,65.0,112.63,160.07,112.22,56.42,144.59,144.59
2026-07-19 04:30:00+00:00,89.25,106.87,106.31,93.81,101.91,191.455,109.13,102.05,2.35,109.36,101.23,108.94,65.0,111.05,162.57,110.59,48.62,152.69,152.69
2026-07-19 04:45:00+00:00,75.99,100.78,99.99,82.4,93.22,191.455,109.13,94.15,2.33,104.27,92.84,103.69,65.0,106.65,163.13,106.01,18.83,143.5,143.5
2026-07-19 05:00:00+00:00,76.64,108.42,107.69,88.4,100.78,200.92,94.41,99.7,2.41,112.05,100.73,111.45,69.99,114.55,166.0,113.81,17.32,161.42,161.42
2026-07-19 05:15:00+00:00,71.08,98.77,98.13,81.33,92.199997,200.92,94.41,92.2,1.85,101.94,92.07,101.41,69.99,104.11,160.07,103.47,19.4,149.7,149.7
2026-07-19 05:30:00+00:00,65.94,95.37,99.51,76.83,88.199997,200.92,94.41,88.23,1.87,98.73,88.25,98.18,69.99,101.05,152.07,100.36,11.01,160.35,160.35
