dataset,datetime_utc,dataProvider,settlementDate,settlementPeriod,price,volume
MID,2026-06-29 00:00:00+00:00,N2EXMIDP,2026-06-29,3,101.43,0.0
MID,2026-06-29 00:00:00+00:00,APXMIDP,2026-06-29,3,101.43,1702.4
MID,2026-06-29 00:30:00+00:00,N2EXMIDP,2026-06-29,4,99.24,0.0
MID,2026-06-29 00:30:00+00:00,APXMIDP,2026-06-29,4,99.24,1650.55
MID,2026-06-29 01:00:00+00:00,N2EXMIDP,2026-06-29,5,100.54,0.0
MID,2026-06-29 01:00:00+00:00,APXMIDP,2026-06-29,5,100.54,1604.35
MID,2026-06-29 01:30:00+00:00,N2EXMIDP,2026-06-29,6,98.29,0.0
MID,2026-06-29 01:30:00+00:00,APXMIDP,2026-06-29,6,98.29,1721.25
MID,2026-06-29 02:00:00+00:00,N2EXMIDP,2026-06-29,7,93.18,0.0
MID,2026-06-29 02:00:00+00:00,APXMIDP,2026-06-29,7,93.18,1776.45
MID,2026-06-29 02:30:00+00:00,N2EXMIDP,2026-06-29,8,95.8,0.0
MID,2026-06-29 02:30:00+00:00,APXMIDP,2026-06-29,8,95.8,1561.4
MID,2026-06-29 03:00:00+00:00,N2EXMIDP,2026-06-29,9,99.4,0.0
MID,2026-06-29 03:00:00+00:00,APXMIDP,2026-06-29,9,99.4,1270.65
MID,2026-06-29 03:30:00+00:00,N2EXMIDP,2026-06-29,10,96.5,0.0
MID,2026-06-29 03:30:00+00:00,APXMIDP,2026-06-29,10,96.5,1455.85
MID,2026-06-29 04:00:00+00:00,N2EXMIDP,2026-06-29,11,98.68,0.0
MID,2026-06-29 04:00:00+00:00,APXMIDP,2026-06-29,11,98.68,1243.45
MID,2026-06-29 04:30:00+00:00,N2EXMIDP,2026-06-29,12,98.61,0.0
MID,2026-06-29 04:30:00+00:00,APXMIDP,2026-06-29,12,98.61,1368.4
MID,2026-06-29 05:00:00+00:00,N2EXMIDP,2026-06-29,13,113.18,0.0
MID,2026-06-29 05:00:00+00:00,APXMIDP,2026-06-29,13,113.18,1526.9
MID,2026-06-29 05:30:00+00:00,N2EXMIDP,2026-06-29,14,119.58,0.0
MID,2026-06-29 05:30:00+00:00,APXMIDP,2026-06-29,14,119.58,1585.45
MID,2026-06-29 06:00:00+00:00,N2EXMIDP,2026-06-29,15,117.32,0.0
MID,2026-06-29 06:00:00+00:00,APXMIDP,2026-06-29,15,117.32,1844.85
